method,id,question,type,source,gold_answer,predicted_answer,top_evidence,evidence_score,exact_match,retrieval_hit,score
no_search,squad_q_18,What city did Super Bowl 50 take place in?,one-hop,SQuAD,Santa Clara,I do not have enough information to answer.,,0,0,0,0.0
no_search,squad_q_13,What venue did Super Bowl 50 take place in?,one-hop,SQuAD,Levi's Stadium,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_48,What type of forum did a former Soviet statesman initiate?,multi-hop,HotpotQA,Organizations could come together to address global issues,I do not have enough information to answer.,,0,0,0,0.0
no_search,squad_q_23,What team was the AFC champion?,one-hop,SQuAD,Denver Broncos,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_10,Are Local H and For Against both from the United States?,multi-hop,HotpotQA,yes,I do not have enough information to answer.,,0,0,0,0.0
no_search,squad_q_35,Who did the Broncos prevent from going to the Super Bowl?,one-hop,SQuAD,New England Patriots,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_13,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,multi-hop,HotpotQA,1999,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_7,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,multi-hop,HotpotQA,Eenasul Fateh,I do not have enough information to answer.,,0,0,0,0.0
no_search,squad_q_34,What team did the Panthers defeat?,one-hop,SQuAD,Arizona Cardinals,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_39,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,multi-hop,HotpotQA,no,I do not have enough information to answer.,,0,1,0,0.5
no_search,squad_q_24,What team was the NFC champion?,one-hop,SQuAD,Carolina Panthers,I do not have enough information to answer.,,0,0,0,0.0
no_search,squad_q_4,Which NFL team won Super Bowl 50?,one-hop,SQuAD,Denver Broncos,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_20,"Which writer was from England, Henry Roth or Robert Erskine Childers?",multi-hop,HotpotQA,Robert Erskine Childers DSC,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_18,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,multi-hop,HotpotQA,yes,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_41,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,multi-hop,HotpotQA,Scotch Collie,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_46,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",multi-hop,HotpotQA,Yellowcraig,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_40,Ralph Hefferline was a psychology professor at a university that is located in what city?,multi-hop,HotpotQA,New York City,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_5,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",multi-hop,HotpotQA,"Greenwich Village, New York City",I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_38,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",multi-hop,HotpotQA,World War II,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_42,Where is the company that Sachin Warrier worked for as a software engineer headquartered?,multi-hop,HotpotQA,Mumbai,I do not have enough information to answer.,,0,0,0,0.0
no_search,squad_q_2,Which NFL team represented the NFC at Super Bowl 50?,one-hop,SQuAD,Carolina Panthers,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_1,Were Scott Derrickson and Ed Wood of the same nationality?,multi-hop,HotpotQA,yes,I do not have enough information to answer.,,0,0,0,0.0
no_search,hotpot_q_50,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,multi-hop,HotpotQA,English Electric Canberra,I do not have enough information to answer.,,0,0,0,0.0
no_search,squad_q_7,What day was the game played on?,one-hop,SQuAD,"February 7, 2016",I do not have enough information to answer.,,0,0,0,0.0
