method,id,question,type,source,gold_answer,predicted_answer,top_evidence,evidence_score,exact_match,retrieval_hit,score
search_agent,squad_q_18,What city did Super Bowl 50 take place in?,one-hop,SQuAD,Santa Clara,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B,Super_Bowl_50,0.5204299331584047,0,1,0.5
search_agent,squad_q_13,What venue did Super Bowl 50 take place in?,one-hop,SQuAD,Levi's Stadium,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B,Super_Bowl_50,0.4664648574247699,0,1,0.5
search_agent,hotpot_q_48,What type of forum did a former Soviet statesman initiate?,multi-hop,HotpotQA,Organizations could come together to address global issues,"Mikhail Sergeyevich Gorbachev, ( ; Russian: Михаи́л Серге́евич Горбачёв ; ] ; born 2 March 1931) is a former Soviet statesman. He was the eighth and last leader of the Soviet Union, having been General Secretary of the Communist Party of the Soviet Union from 1985 until 1991. He was the country's he",Mikhail Gorbachev,0.23877928177309915,0,0,0.0
search_agent,squad_q_23,What team was the AFC champion?,one-hop,SQuAD,Denver Broncos,"The 2007 MasterCard Memorial Cup was played in May 2007 in Vancouver, British Columbia, at the Pacific Coliseum. It was the 89th annual Memorial Cup competition and determined the major junior ice hockey champion of the Canadian Hockey League (CHL). The tournament was competed between the WHL champi",2007 Memorial Cup,0.2353399604153002,0,1,0.5
search_agent,hotpot_q_10,Are Local H and For Against both from the United States?,multi-hop,HotpotQA,yes,"Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987. The members all met in high school in 1987 and founded Local H three years later. The 1978 United States Sen",Local H,0.2855460332246841,0,0,0.0
search_agent,squad_q_35,Who did the Broncos prevent from going to the Super Bowl?,one-hop,SQuAD,New England Patriots,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B,Super_Bowl_50,0.4111277118803248,0,1,0.5
search_agent,hotpot_q_13,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,multi-hop,HotpotQA,1999,"Arnold Schwarzenegger is an actor who has appeared in over 30 films, and has also ventured into directing and producing. He began his acting career primarily with small roles in film and television. For his first film role, he was credited as ""Arnold Strong"", but was credited with his birth name the",Arnold Schwarzenegger filmography,0.2783671027663642,0,1,0.5
search_agent,hotpot_q_7,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,multi-hop,HotpotQA,Eenasul Fateh,"Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant. Management consulting is the practice of helping organizations to improve their perfor",Eenasul Fateh,0.24201150822746054,1,1,1.0
search_agent,squad_q_34,What team did the Panthers defeat?,one-hop,SQuAD,Arizona Cardinals,"The Lewiston Maineiacs were a junior ice hockey team of the Quebec Major Junior Hockey League based in Lewiston, Maine. The team played its home games at the Androscoggin Bank Colisée. They were the second QMJHL team in the United States, and the only one to play a full season. They won the Presiden",Lewiston Maineiacs,0.12339342285053585,0,0,0.0
search_agent,hotpot_q_39,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,multi-hop,HotpotQA,no,"Elko Regional Airport (IATA: EKO, ICAO: KEKO, FAA LID: EKO) , formerly Elko Municipal Airport, is a mile west of downtown Elko, in Elko County, Nevada. Pensacola International Airport (IATA: PNS, ICAO: KPNS, FAA LID: PNS) , formerly Pensacola Gulf Coast Regional Airport and Pensacola Regional Airpor",Elko Regional Airport,0.5766958229789837,0,1,0.5
